"Year","Month","Ranking","Title","Artist","Spotify Link"
"2024","Janeiro","1","Rockin' Around the Christmas Tree","Brenda Lee","https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg0"
"2024","Janeiro","2","All I Want for Christmas Is You","Mariah Carey","https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2mP"
"2024","Janeiro","3","Last Christmas","Wham!","https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx"
"2024","Janeiro","4","Lovin on Me","Jack Harlow","https://open.spotify.com/track/4xhsWYTOGcal8zt0J161"
"2024","Janeiro","5","Jingle Bell Rock","Bobby Helms","https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uz"
"2024","Janeiro","6","A Holly Jolly Christmas","Burl Ives","https://open.spotify.com/track/77khP2fIVhSW23Nwxr"
"2024","Janeiro","7","Cruel Summer","Taylor Swift","https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdw"
"2024","Janeiro","8","Paint the Town Red","Doja Cat","https://open.spotify.com/track/2IGMVunIBsBLtEQyoIJD"
"2024","Janeiro","9","Snooze","SZA","https://open.spotify.com/track/4iZ4pt7kvjnQMTGq27hP"
"2024","Janeiro","10","Greedy","Tate McRae","https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur"
"2024","Fevereiro","1","Yes, And?","Ariana Grande","https://open.spotify.com/track/7bywjHO5PVjoAqzdHKrW"
"2024","Fevereiro","2","Lovin on Me","Jack Harlow","https://open.spotify.com/track/4xhsWYTOGcal8zt0J161"
"2024","Fevereiro","3","Texas Hold 'Em","Beyoncé","https://open.spotify.com/track/7uEcCGtM1F7NTuynSHum"
"2024","Fevereiro","4","Hiss","Megan Thee Stallion","https://open.spotify.com/track/0ScF100RpmqnxuoJwVJ"
"2024","Fevereiro","5","Cruel Summer","Taylor Swift","https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdw"
"2024","Fevereiro","6","Lose Control","Teddy Swims","https://open.spotify.com/track/6usohdch15A5lH8BPw6T"
"2024","Fevereiro","7","Greedy","Tate McRae","https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur"
"2024","Fevereiro","8","Snooze","SZA","https://open.spotify.com/track/4iZ4pt7kvjnQMTGq27hP"
"2024","Fevereiro","9","Paint the Town Red","Doja Cat","https://open.spotify.com/track/2IGMVunIBsBLtEQyoIJD"
"2024","Fevereiro","10","Is It Over Now?","Taylor Swift","https://open.spotify.com/track/1Iq8oo9gMXYrGEY7mM7v"
"2024","Março","1","Carnival","¥$, Kanye West, Ty Dolla $ign","https://open.spotify.com/track/3K5K9W5K9W5K9W5K9W5K"
